Year,GNPA,loan_restructure,Advance,GDP,Inflation_rate,Net_profit,operating_profit,GNPAR,GDPR,NPR,INFLR,ADR,OPR,RESR,Lok Adalats,DRTs,SARFAESI Act,IBC,Total,NPA,RATE OF RECOVERY,RATE OF NPA,public sector banks,private sector,GNP in priority sector,GNP in non_priority sector
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,2117,1156,0,3422,61884,NA,NA,51541,10343,NA,NA
2005,55288,20677.44,870851,820.38,7.66,24582,54394,NA,NA,NA,NA,NA,NA,NA,880,11,2688,0,3579,55288,4.58796,-10.6587,46597,8691,21536,25493.74
2006,19353,5330.04,1373777,940.26,4.86,31203,659.17,-65,14.61,26.93,5.8,3.9201374,9482.554,287.9416,608,223,4710,0,5541,19353,54.81978,-64.996,15325,4028,22236,18278.58
2007,23483,7860.78,1696333,1216.74,2.49,42726,855.9,21.34,29.4,36.93,6.37,19.43661,-87.4658,-32.1945,106,3463,3749,0,7318,23483,32.07002,21.34036,17836,5647,22519,15603.01
2008,28567,12520.83,2103763,1198.9,4.94,52771,111349,21.65,-1.47,23.46,8.35,1.1819393,-15.299,-37.2184,176,3020,4429,0,7625,28567,4.195135,21.6497,21155,7412,24874,15007.42
2009,36149,62528.88,2519331,1341.89,5.87,57109,122335,26.54,11.93,8.26,10.88,4.8890371,-95.875,-79.9759,96,3346,3982,0,7424,36149,-2.63607,26.54111,29643,6506,24201,20527.81
2010,40487,23433.27,3079804,1675.62,6.35,70331,149.21,12,24.87,23.1,11.99,5.550884,-10.9996,166.838,112,3133,4269,0,7514,40487,1.212284,12.00033,36055,4432,30496,29113.66
2011,63792,50065.4,30599.53,1823.05,10.91,817,17.37,57.56,8.8,16.22,8.86,11218.049,27.73357,-53.1947,200,3900,11600,0,15700,63792,108.9433,57.56169,59391,4401,40186,34235.45
2012,96031,115194.29,35503.89,1827.64,9.31,912,19.1,50.54,0.25,11.59,9.31,14.237454,3110.995,-56.5383,200,4100,10100,0,14400,96031,-8.28025,50.53768,90037,5994,55780,58826.44
2013,139497,226649.03,40558.74,1856.72,8.86,41751,613.3,45.26,1.59,-11.25,10.91,16.027566,9.959701,-49.175,400,4400,18500,0,23300,139497,61.80556,45.26247,130635,8862,67276,96030.81
2014,174079,239358.09,4590458,2039.13,11.99,52930,783.39,24.79,9.82,10.1,6.35,-99.006446,-88.3587,-5.30966,1400,5300,25300,0,32000,174079,37.33906,24.7905,159951,14128,79899,147234.8
2015,347053,296553.28,4845269,2103.59,10.88,48088,697.22,99.37,3.16,-61.72,5.87,22.246898,-87.8032,-19.2867,1000,4200,25600,0,30800,347053,-3.75,99.36523,320376,26677,96611,181598.5
2016,430869,23433.27,5082156,2294.8,8.35,439,28.76,24.15,8.88,28.74,4.94,19.753556,9.866276,24.39008,3200,6400,13200,0,22800,430869,-25.974,24.15078,383089,47780,125809,414148
2017,518695,50065.4,5142224,2652.75,6.37,341,24.36,20.38,15.8,-173.8,2.49,24.018279,30.09581,30.88999,3803,16393,7758,4296,32250,518695,22.60526,20.38346,454473,64222,160942,523790.7
2018,712418,181662.38,6141698,2713.17,5.8,-23307,3.05,37.35,2.51,0.12,4.86,23.479502,29.84511,0.264116,1811,7235,26380,66440,101866,712418,26.72963,37.34815,619209,93209,187511,708090
2019,1024936,104053.7,6382461,2875.14,4.25,-32438,292.59,43.87,5.75,-27.87,7.66,57.751096,-98.7882,74.58524,2816,10574,41876,105773,161039,1024936,56.00406,43.86722,840013,184923,197335,542206.5
